EntryID,Code,SignType 2.0,MajorLocation 2.0,MinorLocation 2.0,SecondMinorLocation,Movement 2.0,Contact,SelectedFingers 2.0,Flexion 2.0,FlexionChange,Spread,SpreadChange,NonDominantHandshape,SignTypeSecondMorpheme,MajorLocationSecondMorpheme,MinorLocationSecondMorpheme,SecondMinorLocationSecondMorpheme,MovementSecondMorpheme,ContactSecondMorpheme,SelectedFingersSecondMorpheme,FlexionSecondMorpheme,FlexionChangeSecondMorpheme,SpreadSecondMorpheme,SpreadChangeSecondMorpheme,HandshapeSecondMorpheme,NonDominantHandshapeSecondMorpheme,SignTypeThirdMorpheme,MajorLocationThirdMorpheme,ContactThirdMorpheme,MinorLocationThirdMorpheme,SecondMinorLocationThirdMorpheme,MovementThirdMorpheme,SelectedFingersThirdMorpheme,FlexionThirdMorpheme,FlexionChangeThirdMorpheme,SpreadThirdMorpheme,SpreadChangeThirdMorpheme,HandshapeThirdMorpheme,NonDominantHandshapeThirdMorpheme,SignTypeFourthMorpheme,MajorLocationFourthMorpheme,MinorLocationFourthMorpheme,SecondMinorLocationFourthMorpheme,MovementFourthMorpheme,ContactFourthMorpheme,SelectedFingersFourthMorpheme,FlexionFourthMorpheme,FlexionChangeFourthMorpheme,SpreadFourthMorpheme,SpreadChangeFourthMorpheme,HandshapeFourthMorpheme,NonDominantHandshapeFourthMorpheme,SignTypeFifthMorpheme,MajorLocationFifthMorpheme ,MinorLocationFifthMorpheme,SecondMinorLocationFifthMorpheme,MovementFifthMorpheme,ContactFifthMorpheme,SelectedFingersFifthMorpheme,FlexionFifthMorpheme,FlexionChangeFifthMorpheme,SpreadFifthMorpheme,SpreadChangeFifthMorpheme,HandshapeFifthMorpheme,NonDominantHandshapeFifthMorpheme,SignTypeSixthMorpheme,MajorLocationSixthMorpheme,MinorLocationSixthMorpheme,SecondMinorLocationSixthMorpheme,MovementSixthMorpheme,ContactSixthMorpheme,SelectedFingersSixthMorpheme,FlexionSixthMorpheme,FlexionChangeSixthMorpheme,SpreadSixthMorpheme,SpreadChangeSixthMorpheme,HandshapeSixthMorpheme,ThumbPositionSecondMorpheme,ThumbContactSecondMorpheme,ThumbPositionThirdMorpheme,ThumbContactThirdMorpheme,UlnarRotation,ThumbPositionFourthMorpheme,ThumbPositionFifthMorpheme,ThumbPositionSixthMorpheme,ThumbContactFourthMorpheme,ThumbContactFifthMorpheme,ThumbContactSixthMorpheme,UlnarRotationSecondMorpheme,UlnarRotationThirdMorpheme,Handshape
jewish,C_03_032,OneHanded,Head,ChinHead,HoverHead,Straight,1,imrp,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,flat b
jelly,C_02_040,AsymmetricalDifferentHandshape,Hand,PalmHand,HoverHand,Circular,1,p,1,0,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,ily
jealous,C_03_051,OneHanded,Head,MouthHead,HoverHead,Curved,1,p,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Yes,,,,,,,,,bent_i
japan,D_01_046,SymmetricalOrAlternating,Neutral,NeutralNeutral,NeutralNeutral,Straight,1,i,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,flat 1
jacket,C_02_008,SymmetricalOrAlternating,Body,ShoulderBody,TorsoMidBody,Curved,0,t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,a
italy,D_02_074,OneHanded,Neutral,NeutralNeutral,NeutralNeutral,BackAndForth,0,i,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,f
israel,B_02_018,OneHanded,Head,ChinHead,ChinHead,Other,1,p,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,ily
island,A_01_025,AsymmetricalDifferentHandshape,Hand,PalmBackHand,PalmBackHand,Circular,1,p,1,0,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,ily
iron,D_01_063,AsymmetricalDifferentHandshape,Hand,PalmHand,FingerFrontHand,Straight,1,imrp,7,0,0,0,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,s
invite,C_02_007,OneHanded,Neutral,NeutralNeutral,NeutralNeutral,Curved,0,imrp,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,No,,,,,,,,,b
introduce,D_01_076,SymmetricalOrAlternating,Neutral,NeutralNeutral,NeutralNeutral,Curved,0,imrp,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Yes,,,,,,,,,flat b
